,THING_ID,RA,DEC,Z_VI,BAL_FLAG_VI
115719,334826308,160.4864868979019,25.613146714651002,0.7564469575881958,0
115720,387881657,160.48671104160536,32.54049875952559,2.6528286933898926,0
115722,327283555,160.48697340112676,24.763664324993577,2.1453497409820557,0
115723,329185363,160.48710300097835,24.9284611737674,2.34,0
115725,408554979,160.48747669442383,35.84357713450456,2.265,0
115728,423447219,160.48974674604517,38.39096625561404,0.9386084079742432,0
115729,338316141,160.48994337880214,26.105500022001454,1.0951638221740723,0
115732,310976285,160.49397306908293,22.95987370073647,2.9871108531951904,0
115738,399442452,160.4990608537587,34.46425359310175,1.715,0
115739,429029050,160.4991463423876,39.334781688300964,2.37,0
115740,420744834,160.4996521553203,37.894199889723346,3.155,0
115755,419365309,160.5054968503145,37.64467695628494,2.053,0
115757,408555347,160.50624003550826,35.994315105229916,2.36,0
115759,390798397,160.50924427587833,33.09425427550536,2.235,0
115760,397945024,160.50948093974472,34.21583947266058,2.36,0
115764,366366512,160.51482054017686,29.475627492362438,1.46,0
115765,300375645,160.5151101016783,21.547726135107894,0.7592964768409729,0
115767,312900876,160.51552403914684,23.156338509671038,2.21,0
115771,389432881,160.5166694732187,32.909539675015296,1.402,0
115772,419595281,160.51900373547085,37.75406985925568,2.525,0
115782,340171320,160.52222612660466,26.306091072407156,2.7014386653900146,0
115785,310976117,160.5256807568096,22.78787266010189,1.515742540359497,0
115786,321847136,160.52574214512987,24.084032404541407,2.5633580684661865,0
115789,367973683,160.52630754386132,29.77709677134611,1.602465033531189,0
115790,323705711,160.52772280561152,24.452788522834854,0.6881721019744873,0
115792,366366783,160.52802958747088,29.640819270247686,2.5552420616149902,0
115795,404816901,160.531668861833,35.291579432329776,2.6720240116119385,0
115797,430482599,160.5320488391347,39.54564858996309,0.663453996181488,0
115809,423447169,160.5387888391155,38.29915741143536,2.33,0
115820,418258448,160.54383686944277,37.537334335269485,2.2227115631103516,0
115825,369775132,160.54528675277408,30.049842705989377,2.5337648391723633,0
115827,388122614,160.5463382439238,32.591307868413935,0.7480347752571106,0
115833,331297596,160.54937977122597,25.28724110600843,2.64,0
115841,405870490,160.55357632394617,35.459356031294455,1.3232632875442505,0
115843,361130285,160.55489649094372,28.837321004395296,2.425,0
